dtRef,idCliente,idade,recencia,penultimaAtivacao,descLifeCycle
2024-02-23,02adccd0-1559-4f7d-bc92-02ec73e68773,2,1,2.0,curioso
2024-02-23,0097ab76-4637-4ece-8ebc-ab6abd61d662,24,16,23.0,desencantado
2024-02-23,0368a5c3-bc5d-45f2-b8a0-07e74ea1574f,26,4,15.0,fiel
2024-02-23,0cec974f-3aac-4ff3-847e-0d157f367d6e,17,2,17.0,reconquistado
2024-02-23,06d83d70-52bf-48a6-b35d-79b5357d3dcb,23,9,15.0,turista
2024-03-22,053c1321-f73d-4b7c-ab92-bda971ff18a6,1,1,NULL,curioso
2024-03-22,014491f5-caa3-4122-be69-a31411ad4bd7,26,15,23.0,desencantado
2024-03-22,000ff655-fa9f-4baa-a108-47f581ec52a1,19,1,2.0,fiel
2024-03-22,3f7f4584-bcbf-49f3-86d9-89743a34a41a,32,4,32.0,reborn
2024-03-22,086bc05e-8aab-41fd-b15c-3d5e46ebefb7,47,4,25.0,reconquistado
2024-03-22,01f2e6ea-4fc4-4eb3-94aa-3f36109a9787,26,11,22.0,turista
2024-03-22,0097ab76-4637-4ece-8ebc-ab6abd61d662,52,44,51.0,zumbi
2024-04-19,00a6d4c8-38e5-4e92-981e-4e4ac5084546,5,1,2.0,curioso
2024-04-19,00f9cc87-c956-4b27-92e2-c96c5774083e,18,18,NULL,desencantado
2024-04-19,000ff655-fa9f-4baa-a108-47f581ec52a1,47,1,3.0,fiel
2024-04-19,082069f5-d13d-467c-a3ab-234c006d6e95,54,2,35.0,reborn
2024-04-19,05de679b-9989-4416-9aa4-20c149999c8d,79,2,17.0,reconquistado
2024-04-19,053f094b-a813-4417-9bb6-7a3d1737b089,82,12,82.0,turista
2024-04-19,0097ab76-4637-4ece-8ebc-ab6abd61d662,80,72,79.0,zumbi
2024-04-30,0019bb9e-26d4-4ebf-8727-fc911ea28a92,2,2,NULL,curioso
2024-04-30,01cada67-8f31-475b-8b34-344d953d739a,16,16,NULL,desencantado
2024-04-30,000ff655-fa9f-4baa-a108-47f581ec52a1,58,2,5.0,fiel
2024-04-30,15e8c04d-9cd8-497e-8e71-f27e70df1427,69,5,54.0,reborn
2024-04-30,10d18590-4365-465c-8174-311c38d3a548,86,2,29.0,reconquistado
2024-04-30,01f2e6ea-4fc4-4eb3-94aa-3f36109a9787,65,8,12.0,turista
2024-04-30,0097ab76-4637-4ece-8ebc-ab6abd61d662,91,83,90.0,zumbi
2024-05-17,0136afea-76c9-45c0-b9db-0212595418e5,5,5,NULL,curioso
2024-05-17,0019bb9e-26d4-4ebf-8727-fc911ea28a92,19,19,NULL,desencantado
2024-05-17,00a6d4c8-38e5-4e92-981e-4e4ac5084546,33,2,3.0,fiel
2024-05-17,1370597d-57dc-46ae-9d2f-ac6e4a285c81,106,1,29.0,reborn
2024-05-17,0368a5c3-bc5d-45f2-b8a0-07e74ea1574f,110,5,24.0,reconquistado
2024-05-17,000ff655-fa9f-4baa-a108-47f581ec52a1,75,11,19.0,turista
2024-05-17,0097ab76-4637-4ece-8ebc-ab6abd61d662,108,100,107.0,zumbi
2024-05-31,0b646b30-63a8-4b05-a3e7-dda3ae39e6b7,5,1,3.0,curioso
2024-05-31,0136afea-76c9-45c0-b9db-0212595418e5,19,19,NULL,desencantado
2024-05-31,000ff655-fa9f-4baa-a108-47f581ec52a1,89,1,3.0,fiel
2024-05-31,0705ab51-620a-4093-8771-9e7aaac39e0d,114,5,80.0,reborn
2024-05-31,0368a5c3-bc5d-45f2-b8a0-07e74ea1574f,124,1,19.0,reconquistado
2024-05-31,02cb6641-a115-4c53-a6ab-22b332d8e5e2,29,9,10.0,turista
2024-05-31,0019bb9e-26d4-4ebf-8727-fc911ea28a92,33,33,NULL,zumbi
2024-06-14,04c86a84-0b8c-48ea-9e87-979b337629aa,2,1,2.0,curioso
2024-06-14,000ff655-fa9f-4baa-a108-47f581ec52a1,103,15,17.0,desencantado
2024-06-14,00a6d4c8-38e5-4e92-981e-4e4ac5084546,61,2,4.0,fiel
2024-06-14,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,43,2,33.0,reborn
2024-06-14,10ddac6b-0b74-4e1d-a624-898ef75ed653,136,1,25.0,reconquistado
2024-06-14,0019bb9e-26d4-4ebf-8727-fc911ea28a92,47,9,47.0,turista
2024-06-14,0097ab76-4637-4ece-8ebc-ab6abd61d662,136,128,135.0,zumbi
